,video,algorithm,bins,rmse_td,nrmse_td,ssim_td,psnr_td,rmse_cam,nrmse_cam,ssim_cam,psnr_cam
53,V1_APalmer_NSayes,A1F0_OPENPOSE_BODY25,64,0.7539517851518929,0.5684432943337261,0.7226046969958022,18.897623290763754,0.7913838657902396,0.626288423033104,0.8763098316830706,22.39661095733378
54,V1_APalmer_NSayes,A1F0_OPENPOSE_BODY25,128,0.7606013444154933,0.5785144051266559,0.7002617832572977,18.788245086692555,0.8001287160088412,0.6402059621819568,0.865765871327943,22.281051189815045
55,V1_APalmer_NSayes,A1F0_OPENPOSE_BODY25,256,0.7639578552111792,0.5836316045388651,0.6861236528724513,18.729812255367868,0.8041071712002142,0.6465883427756106,0.8591891212201785,22.222068261804097
56,V1_APalmer_NSayes,A1F1_OPENPOSE_COCO,2,0.4116476322765434,0.1694537731588843,0.9644206926034279,24.55644818791725,0.33500261999034514,0.11222675540039558,0.9805687872241154,28.391696519915183
57,V1_APalmer_NSayes,A1F1_OPENPOSE_COCO,4,0.5800818821471624,0.3364949899953944,0.8405480674460782,20.962423810827204,0.5137429973682072,0.26393186734486973,0.9218035389787258,24.481698821299677
58,V1_APalmer_NSayes,A1F1_OPENPOSE_COCO,8,0.6645288428723823,0.4415985830093075,0.766695354821211,20.0500632441425,0.6453107956183546,0.4164260229415938,0.8944778950788337,23.4148726008089
59,V1_APalmer_NSayes,A1F1_OPENPOSE_COCO,16,0.7168583143571677,0.513885842863,0.7521760578425656,19.40530847983322,0.741905318685438,0.5504235018937412,0.8854023726783947,22.629833110500904
60,V1_APalmer_NSayes,A1F1_OPENPOSE_COCO,32,0.7443094834979617,0.5539966072250024,0.7291749227357913,19.017425974496657,0.7899312604601633,0.6239913962521824,0.873885039864781,22.20216222854638
61,V1_APalmer_NSayes,A1F1_OPENPOSE_COCO,64,0.7582638347000185,0.574964043013977,0.699187068370502,18.798552529928937,0.8111823456515506,0.6580167978967516,0.8613994627584496,21.967359024741707
62,V1_APalmer_NSayes,A1F1_OPENPOSE_COCO,128,0.7651619105521704,0.5854727493598476,0.6757638197903991,18.684394919917683,0.8207093930140955,0.673563907781565,0.8520536283769138,21.839869319304572
63,V1_APalmer_NSayes,A1F1_OPENPOSE_COCO,256,0.768660657024486,0.5908392056573145,0.6610074861736064,18.623202174863863,0.8249630359055795,0.6805640106105505,0.8464311300148408,21.77724608975863
64,V1_APalmer_NSayes,A1F2_OPENPOSE_MPI,2,0.4046814067175306,0.16376704094287942,0.9565784421616871,24.8529430195249,0.3195005047339567,0.1020805725252531,0.983804299040911,29.214762720196074
65,V1_APalmer_NSayes,A1F2_OPENPOSE_MPI,4,0.5640643946763991,0.3181686413416526,0.8315714455578033,21.44884839228219,0.4866744769991692,0.23685204656241488,0.9353043700044368,25.42199259669966
66,V1_APalmer_NSayes,A1F2_OPENPOSE_MPI,8,0.6437468719037727,0.41441003508589225,0.7671935136803976,20.602011398354012,0.6048148437784922,0.3658009952548018,0.913814076719109,24.54073217076697
